run,kimg,ada_p,g_loss,d_loss,d_score_real,d_score_fake,r1_penalty,sec_per_kimg,peak_gpu_mem_gb,total_hours,fid50k_full,fid50k_full_eval_count,kid50k_full,pr50k3_full_precision,pr50k3_full_recall,kid50k_full_eval_count,pr50k3_full_precision_eval_count,pr50k3_full_recall_eval_count
E4b,149,0.0,1.6775501440205272,1.0067869988344018,1.1343145630697706,-1.091238374079001,0.07029200333636254,11.796833992004395,3.1171631813049316,0.5083780884742737,,,,,,,,
E4b,153,0.0,1.6280817521942987,0.978107018307561,1.1260049859854155,-1.0555144274230337,0.060661508643534034,11.842888832092285,3.1171631813049316,0.5216442942619324,,,,,,,,
E4b,157,0.0,1.8474307261880427,0.9485335031612998,1.2471539594316439,-1.2492116872657326,0.07322197017492726,11.83436393737793,3.11716365814209,0.534920871257782,,,,,,,,
E4b,161,0.0,1.7708878581604315,0.9682447748879591,1.1834760300342495,-1.1690757036807813,0.08779853326268494,11.813211441040039,3.11716365814209,0.5481538772583008,,,,,,,,
E4b,165,0.0,1.7503525134589937,1.0299549922938385,1.0549057546252412,-1.1083469508245352,0.0517173606203869,11.834994316101074,3.118353843688965,0.5614269375801086,,,,,,,,
E4b,169,0.0005119999987073243,1.6519603938573884,1.037744596955322,0.8821890086157999,-1.0246251896762895,0.05264132015872747,11.830930709838867,3.11716365814209,0.5746793150901794,,,,,,,,
E4b,173,0.0005120001151226461,2.0662508958152364,0.9935172769048858,1.2814384004406965,-1.3599305550774767,0.04215248936088756,11.867331504821777,3.117403507232666,0.5879730582237244,,,,,,,,
E4b,177,0.0,1.77120294078948,0.9499873203772401,1.1729443557768948,-1.1755213858485813,0.08026869792956859,11.842909812927246,3.1376771926879883,0.6012393832206726,,,,,,,,
E4b,182,0.0005119999987073243,1.554383668161574,1.0531737101338212,0.8251775674167464,-0.9533767216258667,0.04447433748282492,11.717972755432129,3.11716365814209,0.6143655180931091,,,,,,,,
E4b,186,0.0,1.658699830254865,0.9924340001529172,1.0061633372679353,-1.0869375486167088,0.06796162779210135,11.804224014282227,3.121309757232666,0.6275885105133057,,,,,,,,
E4b,190,0.0005119999987073243,1.7167675931538855,1.0219658543429677,0.9713561980109384,-1.0841413895333452,0.06281200429657474,11.902957916259766,3.11716365814209,0.6409220099449158,,,,,,,,
E4b,194,0.004608000162988901,3.405318056307142,0.6213041203288686,2.741881599802691,-2.8617308242024766,0.058773981989361346,11.936346054077148,3.1173882484436035,0.6542927622795105,,,,,,,,
E4b,198,0.004608000162988901,2.486295516735741,0.9161131393814844,1.8936741899833027,-1.8143859230469734,0.03144191286992282,11.699853897094727,3.13677978515625,0.6674016118049622,,,,,,,,
